,artist,title,mood,lyrics,genre
1,George Michael,I Want Your Sex,happy,"[From a PSA recorded for MTV before its music video aired]
In the past there were arguments for and against casual sex. Then it became a question of morality. These days it can be a question of life or death. It's as simple as that. And this song is not about casual sex

[Part 1]

[Verse 1]
There’s things that you guess
And a'things a'that you know
There’s boys you can trust
And a'girls that you don’t
There’s little things you hide
And little things that you show
Sometimes you think you’re gonna get it
But you don’t and that’s just the way it goes

[Pre - Chorus]
I swear I won’t tease you
Won’t tell you no lies (Yeah)
Don’t need no Bible
Just look in my eyes
I’ve a'waited so long baby
Now that we’re friends
Every man’s got his patience
And here’s where mine ends

[Chorus]
I want your sex
I want your love
I want your sex
I want your...sex
[Verse 2]
It’s playin' on my mind
It’s dancin' on my soul
It’s taken so much time
So why don’t you just let me go
I’d really like to try
Oh, I’d really love to know
When you tell me you’re gonna regret it
Then I tell you that I love you but you still say no

[Pre - Chorus]
I swear I won’t tease you
Won’t tell you no lies (Yeah)
Don’t need no Bible
Just look in my eyes (Oooh)
I’ve waited so long baby
Out in the cold
I can’t take much more girl
I’m losing control

[Chorus]
I want your sex
I want your love
I want your sex
I want your…sex (sex! ow!)
[Bridge]
It’s natural, it’s chemical (let’s do it)
It’s logical habitual (can we do it?)
It’s sensual but most of all
Sex is something that we should do
Sex is something for me and you
Sex is natural, sex is good
Not everybody does it
But everybody should
Sex is natural, sex is fun
Sex is best when it’s one on one
One on one

[Break]
Hoo ah (sex) I’m not your father
Hoo ah (sex) I’m not your brother
Hoo ah (sex) talk to your sister
Hoo ah (sex) I am a lover
Hoo ah (sex) Wooooo-ooooohh!!
Hoo ah (sex)
Hoo ah (sex) Ow!
C-c-c-c-c-c-come on (Hoo ah)

[Outro]
What’s your definition of dirty baby?
What do you consider pornography?
Don’t you know I love it till it hurts me baby?
Don’t you think it’s time you had sex with me?
What’s your definition of dirty baby?
What do you call pornography?
Don’t you know I love it till it hurts me baby?
Don’t you think it’s time you had sex with me?
Ow! Sex with me
Ow! Sex with me
Mmmm have sex with me (Hoo ah)
C-c-c-c-c-c-come on

*************************
[Part 2]

Oh so much love, that you’ve never seen
Let’s make love, put your trust in me (hmm)
Don’t you listen to what they told you
Because I love you, let me hold you

Oh, I’m not your brother
I’m not your father
Oh will you ever change your mind?
I’m a gentle lover with a heart of gold
But baby you've been so unkind...oh

Come on
I want your sex
Come on, I want your sex
That’s right, all night
Oh, I want your sex
I want your…sex

Sexy baby’s (Sexy baby’s)
Sexy body (Sexy body)
Keeps me guessing (Keeps me guessing)
With a promise (Oh)
I know we can come together
But the question is Will we ever ever?

Sexy baby’s (Sexy baby’s)
Sexy body (Sexy body)
Keeps me guessing (Keeps me guessing)
With a promise (Oh)
I know we can come together
But the question is Will we ever ever?

Ohhh together
You and me

I want your love2EmbedShare URLCopyEmbedCopy",rock
2,Rob Zombie,Pussy Liquor,angry,"Baby :
Gimme a B
Gimme a A
Gimme a B
Gimme a Y

What's that spell?
What's that spell?
What's that spell?

Cheerleader: Baby

Earl had a baby
Baby was her name
He knew she was crazy
Tiny was the same
Down behind the shed
Slaughtering the hog
Slice it on the belly
Feed it to the dog

One, two, three, who should I kill?
Every motherfucker running up the hill
One, two, three, what should I do?
Get fucked up and fuck up you
Pussy liquor
Make ya sicker
Pussy liquor
Do it quicker

Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do
Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do

Earl had a baby
Otis was his name
White as a ghost, totally insane
Otis loves the girls
Young and clean
Drowning in a bucket of gasoline

One, two, three, who should I kill?
Every motherfucker running up the hill
One, two, three, what should I do?
Get fucked up and fuck up you

Pussy liquor
Make ya sicker
Pussy liquor
Do it quicker
Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do
Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do

Don't you know something
They won't tell
Time on my mind
Send them to a hell
Burnin' in the house
Spirits are alive
A tongue lashing mama
Help 'em to survive

One, two, three, who should I kill?
Every motherfucker running up the hill
One, two, three, what should I do?
Get fucked up and fuck up you

Pussy liquor
Make ya sicker
Pussy liquor
Do it quicker
Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get a blow job too
Baby: Yeah, I bet you doEmbedShare URLCopyEmbedCopy",metal
3,Katatonia,12,sad,"[Chorus]
Black theatre of love
Violet dancers cast their blood
The moon gave me flowers
For funerals to come

[Verse 1]
12 shapes bow before her
I am still one of them
12 morbid ways to die
Her beauty scares me

[Verse 2]
I'm falling deeper
No more pain to feel now
Touch the silence
Afraid of hell

[Chorus]
Black theatre of love
Violet dancers drink my blood
The moon gave me flowers
For funerals to come

[Outro]
I cannot breathe
I am losing life
The moon paints the skyline blue
She died so beautifulEmbedShare URLCopyEmbedCopy",metal
4,Bing Crosby,Swinging On A Star,happy,"[Chorus: Bing Crosby & Chorus]
Would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are (Ooo)
Or would you rather be a mule?

[Verse 1: Bing Crosby & Chorus]
A mule is an animal with long funny ears
He kicks up at anything he hears
His back is brawny but his brain is weak
He's just plain stupid with a stubborn streak
And by the way, if you hate to go to school
You may grow up to be a mule

[Chorus: Bing Crosby & Chorus]
Or would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are, doo doo
Or would you rather be a pig?

[Verse 2: Bing Crosby & Chorus]
A pig is an animal with dirt on his face
His shoes are a terrible disgrace
He has no manners when he eats his food
He's fat and lazy and extremely rude
But if you don't care a feather or a fig
You may grow up to be a pig
[Chorus: Bing Crosby & Chorus]
Or would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are
Or would you rather be a fish?

[Verse 3: Bing Crosby & Chorus]
A fish won't do anything, but swim in a brook
He can't write his name or read a book
To fool the people is his only thought
And though he's slippery, he still gets caught
But then if that sort of life is what you wish
You may grow up to be a fish

A new kind of jumped up slippery fish

[Outro: Bing Crosby & Chorus]
And all the monkeys aren't in the zoo
Everyday you'll meet quite a few
So you see it's all up to you (Ooo)
You can be better than you are (Ooo)
You could be swingin' on a star

Doo doo doo doo doo
Doo doo doo doo doo, doo dooEmbedShare URLCopyEmbedCopy",easy listening
5,Ludacris,Get Back,angry,"[Intro]
Heads up! (woop, woop) Heads up! (woop, woop)
Here's another one! (another one)
And an-and another one
O-o-oh!

[Chorus]
Yeek yeek! (woop, woop) why you all in my ear?
Talking a whole bunch of shit that I ain't trying to hear!
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)
Yeek yeek! (woop, woop) I ain't playing around!
Make one false move I'll take ya down
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)

[Verse 1]
Who-o-o!! S-s-so c'mon, c'mon!
Don't get swung on, swung on!
It's the knick knack paddywhack, still ride in Cadillacs
Family off the street! made my homies put the baggies back
Still stacking plaques! (yep!) still action packed! (yep!)
And dough!! I keep it flipping like acrobats!
That's why I pack a mac, that'll crack 'em back
'Cause on my waist there's more Heat than the Shaq Attack
But I ain't speaking about ballin, ballin
Just thinking about brawlin till y'all start bawlin
We all in together now, birds of a feather now
Just bought a plane so we changing the weather now
So put your brakes on, caps put your capes on
Or knock off your block, get dropped and have your face flown
Cause I'll prove it! scratch off the music!
Like hey little stupid! don't make me lose it!!
[Chorus]
Yeek yeek! (woop, woop) why you all in my ear?
Talking a whole bunch of shit that I ain't trying to hear!
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)
Yeek yeek! (woop, woop) I ain't playing around!
Make one false move I'll take ya down
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)

[Bridge]
I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)
I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)
I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)
I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)

[Verse 2]
See I caught 'em wit a right hook, caught 'em wit a jab
Caught 'em wit an uppercut, kicked 'em in his ass
Sent him on his way cause I ain't for that talk!
No trips to the county, I ain't for that walk!
We split like two pins at the end of a lane
We'll knock out your spotlight and put an end to your vain
Put a DTP pendant at the end of yo chain
Then put the booty of a Swisha at the end of a flame
[Chorus]
Yeek yeek! (woop, woop) why you all in my ear?
Talking a whole bunch of shit that I ain't trying to hear!
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)
Yeek yeek! (woop, woop) I ain't playing around!
Make one false move I'll take ya down
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)

[Bridge]
Hey! You want what wit me?!
I'm a tell you one time, don't FUCK wit me!
Get down! Cause I ain't got nothing to lose
I'm having a bad day, don't make me take it out on you!
You want what wit me?!
I'm a tell you one time, don't fuck wit me!
Get down! Cause I ain't got nothing to lose
And I'm having a bad day, don't make me take it out on you!

[Verse 3]
Man! Cause I don't wanna do that
I want to have a good time and enjoy my Jack
Sit back and watch the women get drunk as hell
So I can wake up in the morning wit a story to tell
I know it's been a lil while since I been out the house!
But now I'm here, you wanna stand around running your mouth?!
I can't hear nothing you saying or spitting, so wassup!
Can't you see we in the club?! Man shut the fuck up!!
[Chorus]
Yeek yeek! (woop, woop) why you all in my ear?
Talking a whole bunch of shit that I ain't trying to hear!
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)
Yeek yeek! (woop, woop) I ain't playing around!
Make one false move I'll take ya down
Get back motherfucker, you don't know me like that!
(Get back motherfucker You don't know me like that)
[Outro]
Ah! We in the Red Light District!
Ah! We in the Red Light District!
Wh-o-oh! We in the Red Light District!
Ah! We in the Red Light District!
Wh-o-oh! We in the Red Light District!
Wh-o-oh! The Red Light District!
Wh-o-oh! The Red Light District!
Ah, we in The Red Light District16EmbedShare URLCopyEmbedCopy",hip hop
6,Hole,Violet,angry,"[Verse 1]
And the sky was made of amethyst
And all the stars were just like little fish
You should learn when to go
You should learn how to say, ""No""

[Interlude]
Might last a day, yeah
Mine is forever
Might last a day, yeah
Mine is forever

[Pre-Chorus]
When they get what they want
And they never want it again
When they get what they want
And they never want it again

[Chorus]
Go on, take everything
Take everything, I want you to
Go on, take everything
Take everything, I want you to

[Verse 2]
And the sky was all violet
I want it again, but violent, more violent
Yeah, I'm the one with no soul
One above and one below
[Interlude]
Might last a day, yeah
Mine is forever
Might last a day, yeah
Mine is forever

[Pre-Chorus]
When they get what they want
And they never want it again
When they get what they want
And they never want it again

[Chorus]
Go on, take everything
Take everything, I want you to
Go on, take everything
Take everything, I dare you to

[Verse 3]
Well, I told you from the start
Just how this would end
When I get what I want
And I never want it again

[Chorus]
Go on, take everything
Take everything, I want you to
Go on, take everything
Take everything, I want you to
[Bridge]
It's my lie
You're mine, you're mine

[Chorus]
Go on, take everything
Take everything, I want you to
Go on, take everything
Take everything, I want you to
Go on, take everything
Take everything, I want you to
Go on, take everything
Take everything
Take everything
Take everything16EmbedShare URLCopyEmbedCopy",rock
7,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,angry,"[Sampled Intro]
Next Thursday you're invited to watch Rising Tide's live coverage of a gala tribute in salute to Ronald Reagan. Host Haley Barbour joins special guest Lady Margaret Thatcher in celebrating the former president's 83rd birthday. Tickets are 1000 Dollars a plate but you can see the event free on GOP TV.

[Verse 1]
Images of perfection, suntan and napalm
Grenada, Haiti, Poland, Nicaragua
Who shall we choose for our morality
I'm thinking right now of Hollywood tragedy
Big Mac, smack, Phoenix, R., please smile y'all
Cuba, Mexico can't cauterise our discipline
Your idols speak so much of the abyss
Yet your morals only run as deep as the surface
[Chorus]
Cool, groovy, morning, fine
Tipper Gore was a friend of mine
I love a free country
The stars and stripes and an apple for mommy

[Bridge]
(Conservatives say) ""There ain't no black in the Union Jack""
(Democrats say) ""There ain't enough white in the Stars and Stripes""

[Verse 2]
Compton, Harlem, a pimp fucked a priest
The white man has just found a new moral saviour
Vital stats, how white was their skin
Unimportant, just another inner-city drive-by thing
Morning, fine, serve your first coffee of the day
Real privilege, it will take your problems away
Number one, the best, no excuse from me
I am here to serve the Moral Majority
[Chorus]
Cool, groovy, morning, fine
Tipper Gore was a friend of mine
I love a free country
The stars and stripes and an apple for mommy

[Extended Bridge]
Zapruder the first to masturbate
The world's first taste of crucified grace
(And we say) there's not enough black in the Union Jack
(And we say) there's too much white in the Stars and Stripes

[Outro]
Fuck the Brady bill!
Fuck the Brady bill!
""If God made man,"" they say
""Sam Colt made him equal""2EmbedShare URLCopyEmbedCopy",rock
8,Emerson Hart,If You're Gonna Leave,sad,"Maybe I'm the joker
Maybe I'm the fool in your eyes
Maybe I'm the weak one
Maybe I'm a lie in disguise
Maybe I'm angry
'Cause I'm the one who's always wrong
But maybe I'm not the one who's so strong

Did you think about it?
Did you pull it in and pour it out?
Could you live without me?
Did you ever really have a doubt?
But do you understand it, baby?
When you say, “It's over”, it's done
Maybe I'm not the one

So if you're gonna leave
Yeah, you better get goin'
‘Cause I ain't wastin' no more time
On what you did and what you didn't do
If you’re gonna leave
Yeah, you better start runnin'
‘Cause I ain't wastin' no more time
On what might've been

We can stand on reason
We can fight about all the things
This isn't forever
This is more than a wedding ring
But do you understand it, baby?
When you say, “It's over”, it's done
Maybe I'm not the one
So if you're gonna leave
Yeah, you better get goin'
‘Cause I ain't wastin' no more time
On what I did and what I didn't do
If you're gonna leave
Yeah, you better start runnin'
‘Cause I ain't wastin' no more time

O-oh, did it happen again?
With the things that you wanted
For being a friend
How did it happen again?
Just look onward, baby
‘Cause someday you might need a friend
(Friend)

So if you're gonna leave
Yeah, you better get goin'
‘Cause I ain't wastin' no more time
On what we did and what we didn't do
If you’re gonna leave
Yeah, you better start runnin'
‘Cause I ain't wastin' no more time

No, I ain't wastin' no more time
On what might've beenEmbedShare URLCopyEmbedCopy",pop
9,Megadeth,Architecture of Aggression,angry,"[Verse 1]
Born from the dark in the black cloak of night
To envelop its prey below, deliver to the light
To eliminate your enemy, hit them in their sleep
And when all is won and lost, the spoils of wars are yours to keep

[Chorus]
Great nations built from the bones of the dead
With mud and straw - blood and sweat
You know your worth when your enemies
Praise your architecture of aggression

[Post-Chorus]
Praise your architecture of aggression

[Verse 2]
Ensuing power vacuum, a toppled leader dies
His body fuels the power fire and the flames rise to the sky
One side of his face, a kiss - the other, genocide
Time to pay with your ass, a worldwide suicide

[Chorus]
Great nations built from the bones of the dead
With mud and straw - blood and sweat
You know your worth when your enemies
Praise your architecture of aggression
[Instrumental Break]

[Verse 1]
Born from the dark in the black cloak of night
To envelop its prey below, deliver to the light
To eliminate your enemy, hit them in their sleep
And when all is won and lost, the spoils of wars are yours to keep

[Chorus]
Great nations built from the bones of the dead
With mud and straw - blood and sweat
You know your worth when your enemies
Praise your architecture of aggression
Great nations built from the bones of the dead
With mud and straw - blood and sweat
You know your worth when your enemies...
Praise your architecture of aggression4EmbedShare URLCopyEmbedCopy",rock
10,Blondie,Heart of Glass,happy,"[Verse 1]
Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind

[Verse 2]
Once I had a love and it was divine
Soon found out I was losing my mind
It seemed like the real thing but I was so blind
Mucho mistrust, love's gone behind

[Chorus 1]
In between, what I find is pleasing and I'm feeling fine
Love is so confusing, there's no peace of mind
If I fear I'm losing you, it's just no good
You teasing like you do

[Instrumental Bridge]

[Verse 1]
Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind
[Chorus 2]
Lost inside, adorable illusion and I cannot hide
I'm the one you're using, please don't push me aside
We could've made it cruising, yeah

[Bridge]
(Da-da-da, da-dum-da-dum-da, da-dum-da-da-da
Da-dum-da-dum-da, da-dum-da-da-da, da-dum-da-dum-da)
Yeah, riding high on love's true bluish light
Oooh-ah-ah, oooh-ah-ah, oooh-ah-ah, oooh-ah-ah

[Verse 3]
Once I had a love and it was a gas
Soon turned out, it was a pain in the ass
Seemed like the real thing only to find
Mucho mistrust, love's gone behind

[Outro]30EmbedShare URLCopyEmbedCopy",pop
