id,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024559353,0.97927266,0.009578022,0.016918384,0.033034377,0.023456354,0.50107527,0.35492256,0.53346926,0.526763,0.003089043,1.7262506,-30.162085,-0.3637147,12.978362,0.7117017,0.39755002,38.562943,-11.851657,-1.689951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.773163,-24.648094,0.080288194,0.013104914,0.0031176496,1.497006,0.0,0.0,0.0,9.96,0.0,-60.85721
2,50.328335,0.14795437,43.971313,48.91405,58.919884,14.94857,134.36134,66.889435,70.18928,65.68121,0.70199853,1.6877086,0.038608365,0.06679763,1.5725449,1.5339366,12.22901,5.681257,10.357888,5.6394286,0.47615474,1.9617851,-35.855244,-0.46795332,18.94311,1.667251,-25.52884,-0.63004977,9.735713,2.1303847,0.053216852,1.0718763,1.7066377,0.3190338,-1.3174586,-2.927911,-6.7784214,-2.512253,-16.18098,-1.5263273,992.5943,0.29149526,811.9014,0.4402565,-152.29453,-0.5919756,2012.656,0.15391564,849.9286,0.42910606,-130.9348,-0.75526136,2992.2917,0.1392561,833.66364,0.3478133,-127.07794,-0.80255425,18.213036,0.79675436,-4.124207,-4.8238573,0.098661184,0.3729524,0.032344848,0.7229501,1.3995504,0.8196557,-19.98493,-0.95343727,-18.018536,-1.5584984,-18.83301,-1.0102818,4.4406085,5.271038,30.713785,-30.654785,0.07057778,0.011820001,0.010333175,0.69860286,0.70210636,0.46714285,0.6851009,0.81374997,1.6030667,-25.674097
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011173324,1.3763806,0.0043073525,0.0070097507,0.013783259,0.009475907,0.110696405,0.12882544,0.05071227,0.032030195,0.00091616175,3.8840296,-17.617594,-0.6912028,10.486392,1.0303525,-11.196609,-0.9953983,1.443098,9.391582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.969838,-6.417336,0.08720248,0.011423365,0.0010228748,0.29940122,0.0,0.0,0.0,9.96,0.0,-61.839344
4,29.874924,0.25341392,22.467747,30.55925,34.735252,12.267506,303.82352,563.87756,159.02362,204.24234,2.6274843,0.66280127,0.79791623,2.4548476,4.233471,3.4355547,27.120594,15.749745,20.44778,15.503533,2.632079,0.76305324,19.83986,0.7905703,12.667132,1.3991927,6.441994,2.6921387,3.7520018,5.2286797,0.06820387,1.5318078,1.2986113,0.617332,2.4870095,1.9350252,1.1430867,19.938929,16.784489,1.3608727,583.45264,0.48324117,1125.6158,0.22835293,-27.964638,-2.335876,1638.0591,0.1995767,807.2566,0.35472628,-33.927124,-1.6597425,2682.618,0.13162345,752.4492,0.38910988,-37.546013,-1.4745128,-14.202129,-0.69980544,22.987093,0.4976127,0.07846172,0.57583153,-0.02026911,-0.7939069,2.8673015,0.68216723,21.737295,0.648713,10.552402,1.614715,5.4593725,3.2192338,2.6774697,7.53419,-14.887405,21.994764,0.029711362,-0.009229631,0.7847098,2.5948105,1.2036109,0.7366666,0.6560403,0.086,0.13380583,-14.203448
5,40.9074,0.119702876,37.71631,39.992207,44.154324,6.438015,98.6347,81.78881,208.21202,569.49725,3.7009213,0.3779396,2.4025953,3.7594013,5.0303273,2.627732,33.71242,17.0197,25.812788,12.609092,3.6775768,0.4950706,6.2939534,1.6781219,-25.610191,-0.57789284,-13.110484,-1.3590095,-20.172651,-0.89517754,0.044264037,1.4014798,1.3744717,0.44910127,2.0145593,2.6977632,3.0687778,3.4349535,7.1443515,1.7863243,936.78937,0.27396268,896.615,0.31526428,-6.9521785,-5.5640078,1974.2809,0.14254315,819.79877,0.32566762,-7.5347023,-4.4149175,2927.056,0.09890115,729.0009,0.32772982,-10.645345,-3.021704,-1.436595,-4.681685,10.590508,0.6452332,0.11613214,0.31111494,-0.00937961,-1.9284962,3.7297606,0.48524636,6.638481,1.5698684,-25.824156,-0.5641679,-13.214544,-1.3453848,-20.398762,-0.88953245,1.3898166,6.2650385,0.09813015,-0.009422962,2.1191642,4.0918164,0.90361446,1.0633334,1.2512836,0.03333333,0.00942809,-14.09184
6,49.754253,0.07809735,47.61361,50.340214,50.93242,3.3188095,110.26448,96.609215,86.69033,120.7427,2.7785358,0.41037118,1.6968721,3.0991774,3.7913065,2.0944343,14.796687,7.231511,12.525416,5.4859776,2.5496442,0.5381187,3.6779704,2.6249306,-55.05822,-0.3860594,-10.561131,-1.2961382,-30.272697,-0.592465,0.032281175,1.473698,1.3938907,0.35105762,6.5302587,0.66332406,11.3664665,1.2351958,14.641977,0.895382,1032.357,0.30703166,1008.45197,0.30991432,4.868957,9.172348,1958.7394,0.14691386,1036.8574,0.4298716,-0.39420804,-95.277306,2956.811,0.0932848,787.6249,0.591,-6.453445,-5.443317,2.3971083,2.9612055,11.17021,0.74307,0.07989436,0.5157313,0.013210792,1.2871482,2.6366653,0.49922058,4.6224213,1.5839282,-56.673706,-0.34235042,-10.345283,-1.3243024,-30.817692,-0.58267534,27.601036,-19.35908,0.060366258,0.035831533,0.060197435,3.3932137,0.20120725,4.8199997,4.7999997,0.13,0.019999998,-15.736717
7,50.526596,0.17037499,42.834846,50.73098,59.70286,16.868015,128.11336,99.695045,123.0303,121.261635,0.9488437,1.3292079,0.011321668,0.18885122,2.2276223,2.2163005,18.510891,9.718222,15.554098,6.5627027,0.56274235,1.631569,-28.007038,-0.5829769,-7.4856033,-3.6942792,-2.7168844,-11.90569,-26.196722,-1.0624913,0.05818883,1.3079058,1.6178763,0.48033437,2.028933,3.457869,-6.2248654,-3.675097,-17.249598,-1.5996771,1065.3969,0.26164383,800.64417,0.39798784,-122.07302,-0.907072,2234.305,0.15442677,620.50226,0.5415042,-98.15306,-1.0958493,3226.7625,0.082804635,732.15894,0.46077177,-91.33648,-1.230609,15.95856,1.1661463,-6.333756,-3.743027,0.08033603,0.50756776,0.015172401,1.4256456,1.1464992,0.9269294,-22.039145,-0.76068044,-27.4683,-0.9388827,-11.084176,-3.1002898,-35.391396,-0.6147793,26.423426,-24.501087,0.0805188,0.013803811,0.04755191,1.5968064,1.8054163,0.25166667,0.39700615,0.29470587,0.527303,-23.777832
8,44.363766,0.13716683,40.082798,42.272198,47.091816,7.009018,101.68781,87.48324,65.245735,42.53163,2.5506616,0.7059935,0.44515538,2.4571753,4.4247046,3.9795492,21.257076,10.966222,16.767876,11.494935,1.7669089,0.8091426,-1.8851112,-8.467336,-16.843866,-1.3525232,-12.965773,-2.0240223,-31.018341,-0.5442283,0.038677186,1.3909017,1.3188336,0.4441882,3.232383,1.5672938,0.26793885,59.65233,2.8395855,6.90852,866.23724,0.40702406,886.1231,0.44190577,-33.348152,-2.5366075,1923.6525,0.21218762,702.63715,0.52116805,-26.624407,-2.5769866,2966.307,0.11458852,722.1244,0.47988144,-25.16953,-2.7290046,-0.45297578,-23.532541,9.319841,1.4309657,0.093957864,0.4151641,-0.01672688,-1.1808699,1.9903104,0.6995893,0.7133158,21.227083,-20.741339,-0.9964331,-14.544544,-1.7974062,-33.104298,-0.4695621,5.749592,-1.0691648,0.113965884,-0.01578832,0.32855695,2.4950101,0.8032128,1.07875,1.028475,0.195,0.18481973,-17.135532
9,43.544395,0.17802095,37.96431,40.682545,50.917606,12.953297,117.5621,83.20247,141.91376,118.14967,1.4276466,0.59764266,0.57749766,1.3934069,2.3164895,1.7389917,12.780871,7.652445,10.045802,5.1116815,1.0805362,0.7593391,3.3940263,5.604172,-6.887825,-3.4808562,-3.0587993,-12.209368,-30.534094,-1.0637214,0.054269016,1.4275817,1.29897,0.47965318,4.785596,1.0834881,3.225792,7.098555,0.4788824,54.29192,829.4567,0.42763045,899.6269,0.39852667,-52.05659,-1.6523246,1906.4905,0.24047354,846.11316,0.5011106,-37.521503,-1.9282341,2977.3894,0.12194736,687.14276,0.5534952,-37.102962,-1.9045975,-1.652945,-7.746147,10.796206,1.4277416,0.09926719,0.39190164,-0.007215036,-3.4109683,1.2622973,0.605989,8.529149,1.7968644,-11.559313,-1.9767089,-0.26674247,-144.8269,-32.93185,-1.0284536,8.951714,-4.5863094,0.15818584,0.00093805714,0.1055264,2.994012,0.90361446,0.93,1.3029623,0.17999999,0.30557323,-21.717052
10,48.30546,0.083179176,45.29421,46.854733,51.844036,6.5498276,67.74962,88.87856,16.085089,17.189457,1.841377,1.0845956,0.029652972,0.7504283,4.338381,4.3087277,22.000952,12.750178,17.400366,9.367572,1.2767148,1.2287517,-4.087789,-5.3261943,-31.77535,-0.97024333,-7.967598,-2.114975,-17.998474,-1.5403805,0.009153672,1.7587272,0.77962476,0.6792267,12.608209,0.42796928,4.2151937,2.8817918,11.148387,1.3168486,898.2029,0.27561763,1108.011,0.21353933,-90.52907,-1.1276194,1843.855,0.10375337,970.9895,0.28010234,-78.85362,-1.2187036,2882.091,0.09837846,878.7263,0.46320975,-82.6206,-1.1219976,0.7102807,16.176,11.398771,1.002828,0.11538678,0.42458582,-0.002434727,-8.442792,2.0680125,0.745362,10.29249,1.1175058,-48.77445,-0.43280563,-11.294305,-1.4857416,-27.236078,-0.76565814,25.225428,-14.593682,0.082152516,0.019448146,0.008254682,1.8962077,0.60240966,1.015,1.308329,0.625,0.5909526,-15.745676
