id,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
1,40.05003,0.19713148,36.907623,40.42137,44.023933,7.11631,224.94063,340.86575,252.26001,637.98425,0.85293794,0.60247606,0.30500275,0.8494751,1.3591995,1.0541968,7.5987525,5.7144175,5.8045287,2.7348967,0.3978089,0.69595164,3.3019571,4.6615033,-7.805943,-2.7784512,-1.2310616,-18.686441,-17.918411,-1.1316388,0.06393673,1.5354525,1.445314,0.49733943,1.29455,4.2213016,5.2296243,3.006331,4.469577,3.732556,821.1078,0.407451,938.3128,0.43176252,-51.59827,-1.6269283,1902.1296,0.18265547,796.0553,0.49966562,-42.683483,-1.6793853,2893.2886,0.10117116,811.2897,0.47626168,-41.00516,-1.7571896,-4.2665906,-2.445491,11.969424,1.0570884,0.12964569,0.309542,-0.017019857,-1.0372928,0.4606422,0.55556947,5.820486,2.4784825,-10.215057,-2.1298954,0.18054985,127.35579,-19.934061,-1.007073,-0.9946589,7.8343573,0.1393759,-0.012769768,0.09866263,2.5974028,1.8370074,0.43854544,0.46010834,0.096041664,0.09512577,-31.23736
2,42.82753,0.21689896,35.02816,43.793625,50.901875,15.873714,248.99231,202.60843,160.93042,107.94955,0.2069905,2.786156,0.0010339657,0.007546957,0.031641003,0.030607037,8.484849,6.851285,6.153165,4.004309,0.13753115,3.0618412,-12.437897,-1.2573814,7.282067,2.1184437,-12.1277275,-1.4414726,3.6060665,4.4956536,0.09346289,0.9842026,1.5560968,0.40623963,0.47417265,8.793782,3.4089687,5.367528,3.4925747,5.3217893,789.30237,0.44495684,1089.6503,0.32657194,-184.85135,-0.30380484,1765.854,0.19111413,907.006,0.485207,-176.94006,-0.36993277,2732.8152,0.1176523,868.1605,0.40899798,-177.07208,-0.36384225,-1.4668612,-6.8921533,15.90614,0.88111305,0.140209,0.29445457,-0.0064494903,-3.624994,1.1197212,0.52976465,5.483731,2.949218,-11.78917,-1.6689744,-28.424387,-0.91430175,4.9652786,3.8250136,14.338898,-12.318303,0.0983029,0.016121322,0.0011957515,0.36630037,0.06671114,1.8249999,1.775,8.76,7.2197685,-31.437931
3,59.28432,0.04656857,56.663864,60.328377,61.5523,4.8884354,54.676632,36.3367,33.11331,20.729137,0.054239564,1.1746836,0.016481755,0.043449678,0.067909434,0.051427677,1.776838,2.3145146,1.7097532,2.2967277,0.012218392,2.157673,-38.553726,-0.34690326,20.823538,0.6054692,-9.438151,-2.228671,-17.365545,-1.159262,0.025034338,0.7842896,1.5053777,0.4327444,4.612969,1.6139554,8.6586275,2.9026604,-36.46344,-1.4011295,1144.7977,0.18930459,972.2989,0.31207085,-197.85924,-0.12407309,2444.4211,0.16098078,1300.18,0.41138488,-189.14796,-0.23670074,3422.3945,0.07195406,1078.6771,0.2786527,-187.19981,-0.28025153,45.65585,0.31891263,-37.55097,-0.7783784,0.06371678,0.17631009,0.018273175,0.95716923,0.05795455,0.90153784,-43.573757,-0.38962314,17.170954,0.9979019,-4.8523316,-5.910136,-32.155273,-0.5533014,33.54748,-30.836697,0.07731834,0.015642475,0.009619118,0.46620047,0.83388925,0.057199996,0.036608193,1.076923,1.6342648,-49.87761
4,33.998665,0.25778228,26.461458,33.849457,42.747044,16.285585,151.0084,137.89664,149.44081,160.5987,2.7197723,0.6383158,0.9229646,2.612422,4.3666406,3.443676,29.869364,15.191621,19.303146,11.676286,2.5347583,0.71637946,19.395048,0.80106866,5.7974286,2.8378284,-5.1720424,-4.127065,-4.857961,-4.7610364,0.05913596,1.5470068,1.3024241,0.63769984,2.4278514,2.0543613,5.4277883,3.226606,19.675571,0.89474493,557.7766,0.463476,1195.4319,0.20871845,-28.650528,-2.5804884,1563.0345,0.20544511,881.18994,0.35143054,-29.186382,-1.9899229,2630.6855,0.12599318,777.8507,0.44420484,-35.565212,-1.5616109,-12.368398,-0.6986257,22.451946,0.4359594,0.09391511,0.5314911,-0.019463705,-0.8398985,2.7429113,0.6478923,21.801943,0.6047181,4.209312,3.754375,-4.7998652,-4.424782,-6.612001,-3.3768964,-3.658998,12.329733,0.046512876,0.00042320642,0.7705768,2.763903,1.3680347,0.64634144,0.75154066,0.07342857,0.10298246,-14.201078
5,41.194748,0.14105792,37.55169,39.673912,43.739697,6.1880074,224.81294,442.34134,122.45183,173.89708,3.085895,0.5091006,1.4727911,3.0765388,4.698899,3.2261076,33.855682,16.176916,28.237783,12.677019,2.9475195,0.6645019,5.7904615,2.2261164,-18.440418,-1.0519532,-12.850271,-1.4485807,-13.153016,-1.3947152,0.05164259,1.5908855,1.4721954,0.50657415,1.8974997,2.85507,4.3805437,2.9537644,7.7408767,1.7229233,948.39655,0.25992703,934.1378,0.30813673,-19.880468,-2.7384303,1971.5607,0.1294631,834.6388,0.3088946,-18.523462,-2.5590625,2950.6992,0.09555398,740.0557,0.3684117,-21.155987,-2.17651,-2.3309498,-2.9360206,11.120334,0.6665438,0.11303264,0.27483982,-0.010754159,-1.5871615,3.1076312,0.62178,6.917735,1.717473,-20.074404,-0.9247179,-13.39881,-1.3914368,-13.715779,-1.344199,3.3370602,3.5791154,0.11278292,-0.009446362,0.8143651,4.0959044,1.2679347,0.7257895,0.7017334,0.05535714,0.0324568,-15.526337
6,44.589,0.17429765,38.129585,42.795856,51.868652,13.739067,134.13116,129.0449,127.436844,147.3183,1.8331716,0.72528154,0.33267078,1.9195807,3.0576286,2.724958,12.760338,8.827364,10.440609,6.6089897,1.3867627,0.9466263,15.455512,1.0416391,-23.183678,-1.2509024,-22.877604,-0.9636089,-30.958231,-0.6539738,0.030361637,1.640124,1.2093704,0.5520628,8.026597,0.7598137,7.4857006,1.9566271,18.823332,0.8289098,826.1018,0.3387849,1126.0254,0.270216,-32.162445,-2.7584813,1734.8184,0.15488848,895.186,0.36405787,-30.846981,-2.395346,2898.4214,0.106673986,640.62103,0.61377746,-39.480618,-1.7790558,-3.5592937,-2.9767847,20.6706,0.56269586,0.1012862,0.42136988,-0.014452179,-1.6594236,1.6202011,0.78681946,19.428514,0.7024407,-31.684513,-0.67668027,-21.144142,-1.0451422,-32.967632,-0.597476,-3.9176629,7.714334,0.109804906,-0.029140502,0.006551084,2.0313022,0.2702703,3.13125,3.770737,0.7316666,0.97021323,-16.82652
7,45.4328,0.15602492,40.260406,43.788105,51.50789,11.247482,261.02725,312.91672,145.26076,241.01976,2.0986605,0.5716895,0.8200309,2.3211508,3.2534432,2.4334123,22.260172,12.139801,18.0222,9.234116,1.2511667,0.73086244,-12.457884,-1.3010308,-14.435499,-1.6609762,-18.20188,-1.6019498,-27.492317,-0.7139374,0.04729444,1.4681252,1.3511845,0.5607251,3.3451672,1.9556545,2.2355316,8.058421,1.6505412,11.169449,923.23694,0.38520938,799.70416,0.38787574,-34.166355,-2.5481894,2004.1562,0.18892427,652.3,0.6024733,-26.861444,-2.577864,3020.8633,0.114509515,648.06604,0.5314194,-24.848192,-2.7495,3.19255,2.960916,7.9254775,1.3720156,0.100418724,0.4075673,-0.0045930683,-5.471448,1.4278154,0.60153913,-9.821553,-1.4422894,-17.567293,-1.3156159,-22.202387,-1.1959664,-26.629948,-0.6908318,26.199371,-23.264647,0.09651772,0.0042699864,0.17071971,3.1635034,1.1709602,0.7311429,0.77320397,0.114838704,0.20838659,-20.554512
8,36.604935,0.21258147,31.669415,35.00991,40.175865,8.506451,551.82306,1049.1367,120.92655,114.79164,1.6418929,0.8200326,0.17994362,1.5086145,3.025136,2.8451924,20.345486,15.632688,13.167659,8.77162,0.847325,1.0683495,9.059767,2.3026016,8.265713,2.9405344,-4.665538,-5.32612,-8.2546835,-2.2527943,0.02505445,2.7233202,0.85845387,0.83296263,7.5072303,0.741648,7.596864,1.8175775,16.619173,1.2243756,644.6625,0.49379143,1175.9203,0.30392775,-71.76314,-1.2604336,1647.5212,0.21221143,869.1555,0.4798968,-62.788464,-1.2854097,2766.1023,0.117905624,814.06085,0.5429594,-65.97313,-1.1882788,-9.271272,-1.3209605,20.867624,0.65683275,0.0851364,0.4822225,-0.022050347,-0.87552035,1.0640595,0.86460227,14.992521,1.2370799,7.3699164,3.368741,-6.3949227,-4.0224733,-10.147263,-1.8957791,3.3243525,3.5601628,0.09216164,-0.0047109816,0.23481338,2.1312022,1.3175676,0.5538462,0.7396971,0.1935135,0.33568177,-18.733562
9,43.534664,0.18185417,37.21569,40.357056,51.910362,14.694672,161.05707,147.42918,132.8472,161.10397,1.8535931,0.46053514,1.000669,1.902854,2.6581206,1.6574516,13.314845,7.2036967,10.750369,5.805849,1.3508806,0.60563177,6.225986,2.9643579,-17.670244,-1.3767594,-0.9061491,-39.392647,-30.594593,-0.86253744,0.05415325,1.2285638,1.4529028,0.47904274,2.788558,2.1609428,3.6113317,5.654275,2.3447292,10.241933,918.8726,0.3177249,854.5314,0.4768398,-20.188541,-2.7287834,1992.1958,0.18427378,799.491,0.52177554,-14.054433,-3.3135824,3016.2974,0.10042163,757.44617,0.47633624,-15.362186,-2.9642925,-0.52541,-23.885027,11.137501,1.4150469,0.10890143,0.35935667,-0.01300054,-1.7899412,1.4103835,0.56430215,7.5740757,2.298734,-19.17345,-1.231736,0.035914715,996.04987,-30.760195,-0.85917604,11.314478,-5.9144835,0.13678102,-0.007275457,0.27298865,3.1968033,0.7674341,1.2295651,1.1176703,0.06941176,0.07494865,-20.569239
10,46.381065,0.09526948,43.077774,46.62496,50.234337,7.156563,141.13846,115.230255,73.05947,105.47787,1.6167796,1.162109,0.0010339657,0.7036797,3.8536236,3.8525896,21.747744,15.168759,20.49877,12.19533,1.2073519,1.336007,8.2738085,1.5556797,-38.455788,-0.739147,-8.38506,-2.7393076,-18.487604,-1.1230084,0.014260247,2.2963586,0.90939224,0.6066586,10.960571,0.5015974,2.6217868,4.8758793,9.808912,1.3901794,933.82587,0.2528262,1091.2382,0.22066611,-88.55309,-1.2042546,1827.3894,0.111785285,968.0699,0.3024107,-80.68415,-1.2662765,2899.2705,0.08081976,716.9589,0.52356267,-84.50368,-1.168821,2.0057204,4.020326,12.397242,0.675777,0.09982205,0.43807322,0.0068160957,3.6235354,2.067891,0.7925299,15.538408,0.6305926,-56.159534,-0.33371982,-8.63619,-2.931536,-31.014317,-0.5150182,9.250946,12.698734,0.113933034,0.024061421,0.0061241235,1.6650017,0.2670227,2.18,2.2670298,2.06,2.552208,-16.749584
