id,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
1,42.856285,0.19197348,37.70937,41.31238,49.214863,11.505493,266.65137,459.9518,124.99228,137.1111,0.5075859,1.3495371,0.0022673334,0.083144955,1.1311011,1.1288338,8.542807,6.1128783,6.5955915,4.1480246,0.2581579,1.5341946,-3.5437167,-5.248659,-3.4853647,-5.848406,-5.191553,-3.9649787,-6.2963543,-3.34709,0.048275985,1.5244037,1.3836052,0.5039411,2.50173,2.4661658,5.6835904,2.9851243,6.5765133,2.969884,822.4424,0.4320995,992.5985,0.3836999,-140.92348,-0.641683,1866.1031,0.19815242,830.65686,0.45243248,-121.221214,-0.7757239,2884.686,0.11204595,803.4323,0.4831238,-121.20879,-0.77350384,-2.9181454,-5.20273,13.351553,1.1805652,0.1163426,0.3742703,-0.013025931,-1.8085811,0.5890991,0.7125548,5.347231,3.7050967,-11.548789,-2.1534107,-6.01476,-4.3257136,-15.6104145,-1.5833046,9.106636,-1.9739847,0.105830796,0.012278872,0.030983929,1.1035151,0.8721243,0.46909463,0.5916017,0.72283447,3.2221746,-30.800018
2,45.585762,0.17183588,39.577194,44.559277,51.923534,12.34634,195.89621,292.6592,121.37426,143.6113,1.3276898,1.0655249,0.011189509,0.95719117,2.65245,2.6412606,15.946312,10.418869,9.743588,7.8389273,1.034649,1.2381617,-3.2996302,-5.685654,-14.416092,-2.0219903,-12.330706,-2.0622287,-6.667659,-3.740911,0.065352574,1.0954354,1.5492013,0.39746425,0.43576586,11.899694,0.36530885,53.690624,0.53819615,38.528435,966.5037,0.2858894,899.15546,0.4169557,-99.98307,-1.0216922,1967.3986,0.15555257,931.6343,0.3956792,-83.647514,-1.2102027,2908.05,0.10513207,832.9673,0.41275716,-84.99631,-1.1661993,3.5792418,3.1543016,9.820522,1.334657,0.12001147,0.37699535,-0.0011100102,-22.715359,1.7628003,0.7054816,4.973026,3.1975617,-31.118456,-0.7483228,-12.204008,-2.3060167,-14.343756,-1.7837684,10.188035,-3.8717062,0.093562655,0.010489869,0.042214334,1.0174272,0.5709488,1.0034118,1.575555,0.8166888,1.9939742,-21.34659
3,42.512768,0.24608207,32.99378,40.965363,53.019497,20.025719,185.73355,161.65897,120.42572,105.57147,0.46912667,1.777086,0.008090892,0.047908567,0.90711665,0.89902574,7.150199,5.829225,4.131801,4.137796,0.44959447,2.0648124,-14.239653,-1.9587598,5.002156,5.0650673,-19.333591,-1.3860966,-12.534359,-1.9749516,0.07727524,1.1422055,1.6877618,0.47708893,1.288076,5.161732,0.47281852,49.028065,9.929305,2.834476,933.5048,0.2609455,1119.5577,0.2669198,-143.85176,-0.6760372,1914.3083,0.1712863,1091.842,0.37238377,-137.45038,-0.68628675,2943.0894,0.11348843,887.3467,0.43002707,-137.90373,-0.6725128,-0.9563174,-20.50065,19.653393,1.2091337,0.116450116,0.47126168,-0.008035461,-3.2225718,1.3912214,0.8497649,13.035286,1.6831366,-18.276995,-1.2898121,-38.62987,-0.78040516,-19.389349,-1.3968426,24.181213,-20.681913,0.088322744,0.014025044,0.016735882,0.26389444,0.5718285,0.5428322,1.469311,1.2755848,3.4140189,-26.861652
4,33.55055,0.2911318,24.581837,33.389324,41.420254,16.838417,189.98523,370.06122,149.82158,239.49261,2.2725945,0.7581303,0.5308306,2.0887923,3.864089,3.3332584,27.676243,14.516918,20.1421,13.694714,2.1803184,0.8535081,17.085451,1.2162598,5.1598186,3.92012,-4.2698884,-4.9243855,-2.580173,-8.776142,0.059284028,1.6702218,1.2717717,0.61923856,3.293347,1.5888983,3.1953733,5.8463917,17.44194,1.1371814,606.73553,0.49748522,1208.8156,0.23169194,-41.621597,-2.0349376,1613.5482,0.22273168,915.2511,0.3450017,-40.622284,-1.7726072,2668.8647,0.13148998,799.3966,0.4114935,-45.996048,-1.5137552,-11.610441,-1.1245602,22.241776,0.58024126,0.08743168,0.5872342,-0.019052602,-0.98382306,2.560027,0.697873,22.27313,0.74689555,4.4158106,4.3637576,-3.2859569,-6.379728,-4.6936393,-4.775127,5.7640796,5.707141,0.06568184,0.009406731,0.32801855,2.097398,0.98347765,0.84019995,1.2969521,0.18637095,0.48812234,-14.597185
5,40.79855,0.14133736,37.257347,39.885162,43.680614,6.4232674,147.70006,149.3863,132.26584,217.83626,3.2330863,0.5367335,1.4580576,3.373067,4.9308553,3.4727976,34.421814,17.101162,27.495373,13.518065,3.012285,0.6745751,7.8631153,1.5308955,-19.414804,-0.9202942,-14.811967,-1.3390656,-14.20226,-1.4395231,0.04912147,1.5493127,1.3938032,0.5072069,2.7394457,1.9968021,4.3908,2.9417543,8.57342,1.4379927,908.73145,0.29834002,960.2186,0.30340537,-20.203176,-2.9378192,1932.9702,0.15090187,845.98193,0.32682306,-19.006676,-2.703,2902.9004,0.10519394,741.68866,0.35141528,-22.215086,-2.2530131,-2.6216543,-2.7885036,12.0536375,0.70645255,0.112422325,0.2936219,-0.0103047835,-1.6965516,3.2110372,0.61367077,8.344735,1.3414791,-21.10959,-0.7998767,-14.82113,-1.3281162,-14.881246,-1.3711944,-1.8806715,12.337485,0.12602867,-0.0037688187,0.64361626,3.5971491,0.9640957,0.94881225,1.0652474,0.085,0.18828627,-14.908981
6,44.908497,0.17899127,37.258137,45.866524,50.734886,13.476749,142.34798,187.38272,99.85243,115.50783,1.9626573,0.7780397,0.15584165,1.9482468,3.434865,3.2790234,16.141068,10.863217,11.529894,8.173388,1.6064259,0.9663196,6.400358,3.1120691,-20.087002,-1.5056325,-19.455673,-1.2239406,-25.920494,-0.8233133,0.032677498,1.5253954,1.2632513,0.4817109,6.3641148,0.8981777,8.298596,1.8383912,17.721466,0.94453,871.7711,0.3470036,1097.6156,0.3077169,-45.76584,-2.0498328,1813.8186,0.17089824,924.44476,0.4183373,-41.179066,-1.9621104,2930.08,0.103515774,717.5158,0.62288266,-47.44786,-1.6331255,-3.278907,-3.2258549,17.327045,0.69044024,0.10913382,0.37573138,-0.0076865316,-3.3271255,1.9971327,0.7467905,11.268982,1.4794422,-27.830584,-0.95319283,-21.578224,-1.050081,-29.672514,-0.6457855,11.105017,-6.348072,0.10245151,0.0032183991,0.028781518,1.6392642,0.29334116,2.7306666,6.5316873,0.6910526,1.0475581,-17.15233
7,44.89454,0.20891844,38.477097,44.584076,53.767414,15.290318,204.52959,326.92682,125.96458,215.47704,1.7356559,0.9029782,0.07001103,1.3703668,3.401379,3.331368,20.135328,12.783827,14.4753,9.148414,1.1357534,1.0676295,-4.9613543,-4.7133923,-13.010083,-2.0129716,-16.69946,-1.742714,-18.884977,-1.2391722,0.048442334,1.4735032,1.4171901,0.5570247,3.383448,1.9131315,1.5970857,12.482431,6.324699,3.4641726,911.84326,0.37842217,912.9756,0.39702326,-68.202835,-1.5053623,1951.5555,0.18780361,795.0305,0.49850658,-55.92927,-1.6442933,2975.1187,0.12159142,730.9098,0.5279,-57.030407,-1.5832428,0.2749135,53.24482,11.784332,1.3111863,0.09402833,0.48974097,-0.0052592363,-5.2095394,1.5524385,0.76331574,-1.677767,-13.6444845,-21.353052,-1.1174246,-20.518827,-1.480804,-23.057096,-0.97872937,9.6190405,-4.584584,0.10179843,0.003956657,0.06814117,2.2300096,0.8149329,0.8770391,1.2673887,0.38032466,1.4725654,-19.885792
8,40.956253,0.17882536,34.967403,40.51323,44.22963,9.262226,195.79108,357.1537,132.23528,300.02707,2.1404145,0.8200413,0.12332842,2.0129728,4.038535,3.9152067,20.646265,16.637478,13.873817,11.407878,1.1469426,1.0461955,2.728711,6.8477826,-7.347343,-3.353401,-12.17555,-2.2421885,-16.6196,-1.3745563,0.027640017,2.0482936,1.0147349,0.6923281,6.7593284,0.8966827,3.5529535,4.291016,10.7183485,1.6538566,760.64026,0.4736204,1042.4574,0.3537848,-67.075966,-1.4348595,1780.6188,0.21687773,843.8891,0.46750423,-52.941517,-1.6325831,2855.7756,0.12016673,751.7687,0.5558518,-55.49335,-1.5194497,-3.6663606,-3.059707,15.176867,0.8568424,0.08905431,0.4450811,-0.017185595,-1.2423825,1.4837452,0.8008717,6.4245462,2.7696579,-11.278188,-2.2468238,-15.239262,-1.8767717,-21.610336,-1.0485938,7.0849614,2.5236397,0.106527776,0.007484766,0.21729481,1.7290816,0.72687703,1.0226946,1.6160171,0.36713332,1.4017918,-17.206005
9,44.925518,0.18341409,37.86369,43.288162,52.855133,14.991444,170.85692,176.17262,137.91731,189.40216,1.0247345,1.0756637,0.0067832437,0.6107913,2.2265363,2.219753,12.9318905,7.426048,10.183276,6.1308665,0.72631377,1.2533926,-4.1236877,-4.837702,-14.245728,-1.8855506,-0.66252804,-45.525063,-13.903997,-2.0820243,0.060842212,1.2118294,1.6076016,0.49641395,1.858829,3.1543918,1.0004113,21.581617,-1.0764999,-22.524078,965.20026,0.3419431,862.9418,0.4504521,-103.570465,-0.9810395,2016.4775,0.17930616,845.44366,0.46444735,-84.58998,-1.200257,2991.758,0.09897881,799.0996,0.43916988,-84.88947,-1.1823089,3.9172556,4.109141,8.299024,1.8974133,0.108433776,0.39397207,-0.0064500454,-4.222201,1.2413231,0.7204718,4.51031,4.168989,-25.795496,-1.0348109,0.8051984,43.244392,-23.703333,-1.2259429,15.306042,-8.354779,0.093424544,0.014791062,0.039356582,1.6103352,0.6643007,0.855411,1.0215461,0.76324993,2.63603,-23.294327
10,44.472183,0.1638389,39.565735,44.810787,50.709827,11.144093,170.27504,269.3126,109.67641,257.53812,1.4450096,1.2493739,0.0070443926,0.36127698,3.3178468,3.3108025,20.536999,12.708957,18.155111,12.141489,1.0105004,1.4285581,2.7654061,7.5784144,-21.934797,-1.3831184,-11.550179,-2.0058331,-10.23714,-2.3072822,0.021833621,2.3195362,0.95168865,0.6317927,9.613794,0.67736727,2.6569285,5.96075,13.644778,1.230654,862.50684,0.32386824,1121.0835,0.24399754,-100.50956,-1.034958,1770.9952,0.14443928,966.763,0.33967248,-89.76203,-1.123002,2874.7236,0.10626279,747.15356,0.5912005,-95.09605,-1.0081619,-0.91979605,-13.098568,16.460934,0.80807793,0.093104124,0.4562149,-0.0038777487,-6.7235484,1.8233004,0.8313886,14.791218,1.0198492,-34.670204,-0.82212424,-15.355055,-1.5806502,-18.262457,-1.2546083,17.888546,-5.58001,0.10097985,0.021160554,0.012994956,1.2770222,0.37989607,1.4452873,1.696504,1.1772093,2.330624,-17.078415
